"model","N","deaths","term","HR","CI_low","CI_high","p","SE"
"Model 1: demographics",2623,220,"vcf_grade2",1.85492354761377,1.15570673129796,2.97717515552395,0.0104827118030075,0.241393589576404
"Model 1: demographics",2623,220,"low_grip",2.52334660830698,1.4855596730701,4.28611399533722,0.000616498878585289,0.270303292949651
"Model 2: + socioeconomic",2623,220,"vcf_grade2",1.67188924737923,1.08775756579657,2.56970279352213,0.0191002159214213,0.219304068782152
"Model 2: + socioeconomic",2623,220,"low_grip",2.14840712549173,1.3947670514372,3.3092645629301,0.000521235732047103,0.220407797235657
"Model 3: + BMI and lifestyle",2623,220,"vcf_grade2",1.59528702167919,1.03720662605489,2.45364869217812,0.0334772856101931,0.219654340752798
"Model 3: + BMI and lifestyle",2623,220,"low_grip",1.8678859338035,1.31053361490709,2.66227269717789,0.000548774516957914,0.180802490189454
"Model 4: + comorbidities",2623,220,"vcf_grade2",1.61550111301245,1.05295696343938,2.47858548522216,0.0280714623809276,0.21838920068979
"Model 4: + comorbidities",2623,220,"low_grip",1.74333529149024,1.20075855518896,2.53108164453352,0.00348060044714175,0.190227870523137
