"subgroup","N","deaths","term","HR","CI_low","CI_high","p"
"Age >=40 years",2623,220,"vcf_grade2",1.61422700207334,1.05283205358837,2.47497101303249,0.0280838718634501
"Age >=40 years",2623,220,"low_grip",1.73983018152762,1.20164164832757,2.51906137305359,0.00335927175142683
"Age >=50 years",1901,203,"vcf_grade2",1.58664806078512,1.03920048988998,2.42248930142412,0.0325089506861334
"Age >=50 years",1901,203,"low_grip",1.6523038831238,1.10734314088007,2.46545810543985,0.0139183775315805
"Age >=60 years",1230,176,"vcf_grade2",1.62988261468701,1.02580195573621,2.58969806287064,0.0386556994066039
"Age >=60 years",1230,176,"low_grip",1.67756994459916,1.08501657948767,2.59373079842823,0.0199645200735815
"Age >=65 years",858,154,"vcf_grade2",1.33635105288983,0.87731454574192,2.03556882218283,0.176890989256016
"Age >=65 years",858,154,"low_grip",1.72166973998538,1.08046849487372,2.74339021234279,0.0222780857935056
