"model","N","deaths","term","HR","CI_low","CI_high","p","SE"
"Flexible age (natural cubic spline, 4 df)",2623,220,"vcf_grade2",1.54916357231276,0.999024505588485,2.40225115635892,0.0505076334989136,0.22382200256528
"Flexible age (natural cubic spline, 4 df)",2623,220,"low_grip",1.51745702894134,1.04345546441594,2.20677921886427,0.0290631672009754,0.191070489267581
"Flexible age, BMI and PIR",2623,220,"vcf_grade2",1.62710664101101,1.0757007809182,2.4611639855484,0.0211322123472685,0.211138281754026
"Flexible age, BMI and PIR",2623,220,"low_grip",1.39761699077847,0.944676431779342,2.06772730556375,0.0938941122966278,0.199837473076097
