"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Grip per 5-kg lower",2623,220,"age10",1.64802959048123,1.36530363264136,1.98930220807168,1.96352050499843e-07
"Grip per 5-kg lower",2623,220,"female",0.334809710406155,0.190684575939899,0.587868953897903,0.000139156400219323
"Grip per 5-kg lower",2623,220,"race2",0.730041717689583,0.307912372481157,1.73088500885028,0.474987591735732
"Grip per 5-kg lower",2623,220,"race3",1.7348032177211,1.09770067909098,2.74167836600748,0.0183141322611535
"Grip per 5-kg lower",2623,220,"race4",1.63814989181115,1.0767951919027,2.49214993549427,0.0211313126412639
"Grip per 5-kg lower",2623,220,"race5",0.742653578981651,0.226883863736815,2.43091037542465,0.622873891505467
"Grip per 5-kg lower",2623,220,"education2",0.692915579031007,0.23491395575337,2.04386324398689,0.506229538284492
"Grip per 5-kg lower",2623,220,"education3",0.989102674019784,0.584415023393341,1.67402284436933,0.967443872522835
"Grip per 5-kg lower",2623,220,"education4",1.03853125945903,0.532619164885082,2.0249875482912,0.911638073102225
"Grip per 5-kg lower",2623,220,"education5",1.12003418889356,0.504362700622052,2.48725090642755,0.780636735710092
"Grip per 5-kg lower",2623,220,"INDFMPIR",0.854612151862419,0.736972268468808,0.991030410992768,0.0375949431054591
"Grip per 5-kg lower",2623,220,"bmi",0.992703461069242,0.954210464322373,1.0327492712194,0.716646062058294
"Grip per 5-kg lower",2623,220,"smokingFormer",1.24386402954905,0.811848016498011,1.90577262315674,0.316119149653982
"Grip per 5-kg lower",2623,220,"smokingCurrent",2.38650506157838,1.25276014536858,4.54628639807471,0.00816103445726758
"Grip per 5-kg lower",2623,220,"alcoholFormer/light lifetime",1.64431538636573,0.999002109230224,2.70647385511773,0.050456538692426
"Grip per 5-kg lower",2623,220,"alcoholPast-year drinker",1.36159273125398,0.890544675105308,2.08179872119772,0.154196940029632
"Grip per 5-kg lower",2623,220,"phys_active",0.748836109939071,0.499342988883603,1.12298666854696,0.1618215864627
"Grip per 5-kg lower",2623,220,"diabetes",1.57128466428644,1.0620739516304,2.32463614462219,0.0237362627601223
"Grip per 5-kg lower",2623,220,"hypertension",1.77149366888261,1.32742985993841,2.36410970824234,0.000102847807513892
