"term","M","logHR","SE","df","HR","CI_low","CI_high","p","fraction_missing_information"
"low_grip",20,0.662076090777317,0.158761034418945,1740123.36824926,1.93881331143592,1.42035943771292,2.64651112724953,3.04256105699787e-05,0.00330550116577193
"vcf_grade2",20,0.580568665375235,0.248615433088548,14769409.0988376,1.78705437780406,1.09778150601806,2.90910653141946,0.0195325881527528,0.00113434987968902

