"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"race4",1.37328641613911,0.884470033541837,2.13225492015834,0.157627122714511
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"race5",0.726026412621574,0.225309281060941,2.33951459674482,0.59175137435155
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"education2",0.708654981454272,0.250708635458941,2.00308968943433,0.515942610739853
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"education3",1.02765050788411,0.592441028218828,1.78256656114707,0.922677809052222
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"education4",1.01921390162156,0.537826456052184,1.9314724397973,0.953467685512707
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"education5",1.19431684228419,0.580173295678478,2.4585632092832,0.629766224820265
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"bmi",0.983459095283304,0.945300126152466,1.02315842909288,0.408753584745184
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"smokingFormer",1.21508540944496,0.799891221772858,1.84579166773914,0.361096096479061
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"smokingCurrent",2.41898406817569,1.21950869172374,4.79823060040428,0.0114745246163143
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"alcoholFormer/light lifetime",1.59673645199903,0.98262545034835,2.59464814008084,0.0588597375695921
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"alcoholPast-year drinker",1.33329936590333,0.827777809901991,2.14754149948608,0.236884195762559
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"phys_active",0.692583202323013,0.460319887334602,1.04203947154543,0.0779982358987324
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"diabetes",1.7227964402648,1.15237783397686,2.57556808806916,0.00801852946263507
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"hypertension",1.78339611792363,1.37100570287608,2.31983113327178,1.61922723654507e-05
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"cvd",1.2085246123044,0.70908253578751,2.05974856921759,0.48627761520405
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"cancer",1.28193396187878,0.887658223968987,1.85133719064786,0.185336710965663
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"INDFMPIR:period2",0.884692200825855,0.664634628351957,1.17760985782948,0.401127199920845
"Piecewise PIR effects (0-2, 2-4, >4 y)",2623,220,"INDFMPIR:period3",0.715122016287661,0.546927453357826,0.935040826785391,0.0142477231897799

