"exposure","HR","CI_low","CI_high","E_value_point","E_value_CI_closest_to_null"
"Grade >=2 vertebral compression fracture",1.61,1.05,2.47,2.60100958623012,1.27912878474779
"FNIH-defined low grip strength",1.74,1.2,2.52,2.87472463620034,1.68989794855664
